"df [mm],""ex1 [mm]"",""ex2 [mm]"",""Phase [deg]"",""XPF1 [mm]"",""XPF2 [mm]"",""YG [mm]"",""Freq [GHz]"",""max(Average_SAR) []"""
2,0.5,1.5,0,9,12,5,1.4,7.97103672240538
2,0.5,1.5,0,9,12,5,1.5,7.73918091823631
2,0.5,1.5,0,9,12,5,1.6,7.52020037330281
2,0.5,1.5,0,9,12,5,1.7,7.31972646445756
2,0.5,1.5,0,9,12,5,1.8,7.1401794788941
2,0.5,1.5,0,9,12,5,1.9,6.98047403597679
2,0.5,1.5,0,9,12,5,2,6.84369233648056
2,0.5,1.5,0,9,12,5,2.1,6.72586828971119
2,0.5,1.5,0,9,12,5,2.2,6.6258699951377
2,0.5,1.5,0,9,12,5,2.3,6.54295104058707
2,0.5,1.5,0,9,12,5,2.4,6.47422180817452
2,0.5,1.5,0,9,12,5,2.5,6.41941547180496
2,0.5,1.5,0,9,12,5,2.6,6.376040546189
2,0.5,1.5,0,9,12,5,2.7,6.3440422733692
2,0.5,1.5,0,9,12,5,2.8,6.32182849103075
2,0.5,1.5,0,9,12,5,2.9,6.30930365190908
2,0.5,1.5,0,9,12,5,3,6.30677850961887
2,0.5,1.5,0,9,12,5,3.1,6.31351322143495
2,0.5,1.5,0,9,12,5,3.2,6.33021304101564
2,0.5,1.5,0,9,12,5,3.3,6.35672224738886
2,0.5,1.5,0,9,12,5,3.4,6.39314502478905
2,0.5,1.5,0,9,12,5,3.5,6.4398300486577
2,0.5,1.5,0,9,12,5,3.6,6.49615595856299
2,0.5,1.5,0,9,12,5,3.7,6.56273448035
2,0.5,1.5,0,9,12,5,3.8,6.63907438078116
2,0.5,1.5,0,9,12,5,3.9,6.7251575030535
2,0.5,1.5,0,9,12,5,4,6.82103916780602
2,0.5,1.5,0,9,12,5,4.1,6.92621850958107
2,0.5,1.5,0,9,12,5,4.2,7.04063912678773
2,0.5,1.5,0,9,12,5,4.3,7.16412121090423
2,0.5,1.5,0,9,12,5,4.4,7.29632090074214
2,0.5,1.5,0,9,12,5,4.5,7.43703689633802
2,0.5,1.5,0,9,12,5,4.6,7.58607121242282
2,0.5,1.5,0,9,12,5,4.7,7.74320609382789
2,0.5,1.5,0,9,12,5,4.8,7.90819586849831
2,0.5,1.5,0,9,12,5,4.9,8.08039582441073
2,0.5,1.5,0,9,12,5,5,8.25955211803616
2,0.5,1.5,0,9,12,5,5.1,8.44527335718688
2,0.5,1.5,0,9,12,5,5.2,8.63710137216379
2,0.5,1.5,0,9,12,5,5.3,8.83440358321775
2,0.5,1.5,0,9,12,5,5.4,9.03674241381106
2,0.5,1.5,0,9,12,5,5.5,9.24366251915014
2,0.5,1.5,0,9,12,5,5.6,9.45471835318275
2,0.5,1.5,0,9,12,5,5.7,9.66943390995743
2,0.5,1.5,0,9,12,5,5.8,9.88730943740536
2,0.5,1.5,0,9,12,5,5.9,10.1078299245963
2,0.5,1.5,0,9,12,5,6,10.3305245843808
2,0.5,1.5,0,9,12,5,6.1,10.5548497478151
2,0.5,1.5,0,9,12,5,6.2,10.7801428271781
2,0.5,1.5,0,9,12,5,6.3,11.0057823606326
2,0.5,1.5,0,9,12,5,6.4,11.2311266567886
2,0.5,1.5,0,9,12,5,6.5,11.4553921351537
2,0.5,1.5,0,9,12,5,6.6,11.6778715838734
2,0.5,1.5,0,9,12,5,6.7,11.8979200151889
2,0.5,1.5,0,9,12,5,6.8,12.1148186231426
2,0.5,1.5,0,9,12,5,6.9,12.3279589693394
2,0.5,1.5,0,9,12,5,7,12.5366529071997
2,0.5,1.5,0,9,12,5,7.1,12.7403885297212
2,0.5,1.5,0,9,12,5,7.2,12.9387482420298
2,0.5,1.5,0,9,12,5,7.3,13.1312999436534
2,0.5,1.5,0,9,12,5,7.4,13.3177085869601
2,0.5,1.5,0,9,12,5,7.5,13.4977511851224
2,0.5,1.5,0,9,12,5,7.6,13.671265806016
2,0.5,1.5,0,9,12,5,7.7,13.8381898633582
2,0.5,1.5,0,9,12,5,7.8,13.998467335517
2,0.5,1.5,0,9,12,5,7.9,14.1520831966935
2,0.5,1.5,0,9,12,5,8,14.299127290977
2,0.5,1.5,0,9,12,5,8.1,14.43961766916
2,0.5,1.5,0,9,12,5,8.2,14.5738013666455
2,0.5,1.5,0,9,12,5,8.3,14.7017935395313
2,0.5,1.5,0,9,12,5,8.4,14.8238091124267
2,0.5,1.5,0,9,12,5,8.5,14.9401211446109
2,0.5,1.5,0,9,12,5,8.6,15.0509530234653
2,0.5,1.5,0,9,12,5,8.7,15.1566536333005
2,0.5,1.5,0,9,12,5,8.8,15.2574708830554
2,0.5,1.5,0,9,12,5,8.9,15.3537065794732
2,0.5,1.5,0,9,12,5,9,15.4456457763262
2,0.5,1.5,0,9,12,5,9.1,15.5337748857276
2,0.5,1.5,0,9,12,5,9.2,15.6185819128588
2,0.5,1.5,0,9,12,5,9.3,15.7002747582066
2,0.5,1.5,0,9,12,5,9.4,15.7792156160851
2,0.5,1.5,0,9,12,5,9.5,15.8558346607573
2,0.5,1.5,0,9,12,5,9.6,15.9304651958493
2,0.5,1.5,0,9,12,5,9.7,16.0033627761623
2,0.5,1.5,0,9,12,5,9.8,16.0748897240089
2,0.5,1.5,0,9,12,5,9.9,16.145290453237
2,0.5,1.5,0,9,12,5,10,16.2147880612443
2,0.5,1.5,0,9,12,5,10.1,16.283475795843
2,0.5,1.5,0,9,12,5,10.2,16.3514474269524
2,0.5,1.5,0,9,12,5,10.3,16.4187020432647
2,0.5,1.5,0,9,12,5,10.4,16.4852179103954
2,0.5,1.5,0,9,12,5,10.5,16.5509671326001
2,0.5,1.5,0,9,12,5,10.6,16.6158369479859
-2,0.5,1.5,0,11,8,5,0.6,7.90775161595712
-2,0.5,1.5,0,11,8,5,0.7,7.67917813129214
-2,0.5,1.5,0,11,8,5,0.8,7.33529179178631
-2,0.5,1.5,0,11,8,5,0.9,6.96260137409836
-2,0.5,1.5,0,11,8,5,1,6.60650514192028
-2,0.5,1.5,0,11,8,5,1.1,6.2865835578259
-2,0.5,1.5,0,11,8,5,1.2,6.00952716603038
-2,0.5,1.5,0,11,8,5,1.3,5.78145787543854
-2,0.5,1.5,0,11,8,5,1.4,5.59476846716854
-2,0.5,1.5,0,11,8,5,1.5,5.45182084921086
-2,0.5,1.5,0,11,8,5,1.6,5.34429021721361
-2,0.5,1.5,0,11,8,5,1.7,5.26631237840839
-2,0.5,1.5,0,11,8,5,1.8,5.21390905277166
-2,0.5,1.5,0,11,8,5,1.9,5.179918940716
-2,0.5,1.5,0,11,8,5,2,5.16658932965731
-2,0.5,1.5,0,11,8,5,2.1,5.16643014993274
-2,0.5,1.5,0,11,8,5,2.2,5.17730679840706
-2,0.5,1.5,0,11,8,5,2.3,5.19927818608596
-2,0.5,1.5,0,11,8,5,2.4,5.22832253694449
-2,0.5,1.5,0,11,8,5,2.5,5.26481504862647
-2,0.5,1.5,0,11,8,5,2.6,5.30647165960052
-2,0.5,1.5,0,11,8,5,2.7,5.353182378974
-2,0.5,1.5,0,11,8,5,2.8,5.40359903219956
-2,0.5,1.5,0,11,8,5,2.9,5.456939913461
-2,0.5,1.5,0,11,8,5,3,5.51356711863798
-2,0.5,1.5,0,11,8,5,3.1,5.57188942671432
-2,0.5,1.5,0,11,8,5,3.2,5.6323497452973
-2,0.5,1.5,0,11,8,5,3.3,5.69427544306895
-2,0.5,1.5,0,11,8,5,3.4,5.7570902970691
-2,0.5,1.5,0,11,8,5,3.5,5.82091934407395
-2,0.5,1.5,0,11,8,5,3.6,5.88434232566783
-2,0.5,1.5,0,11,8,5,3.7,5.94789352367423
-2,0.5,1.5,0,11,8,5,3.8,6.01054522640565
-2,0.5,1.5,0,11,8,5,3.9,6.07226772016404
-2,0.5,1.5,0,11,8,5,4,6.13304351940187
-2,0.5,1.5,0,11,8,5,4.1,6.19252466148898
-2,0.5,1.5,0,11,8,5,4.2,6.25059538916766
-2,0.5,1.5,0,11,8,5,4.3,6.30686029054374
-2,0.5,1.5,0,11,8,5,4.4,6.36136360940106
