"df [mm],""ex1 [mm]"",""ex2 [mm]"",""Phase [deg]"",""XPF1 [mm]"",""XPF2 [mm]"",""YG [mm]"",""Freq [GHz]"",""max(Average_SAR) []"""
2,0.5,1.5,0,9,12,5,6.8,23.7596676883234
2,0.5,1.5,0,9,12,5,6.9,24.0106785491581
2,0.5,1.5,0,9,12,5,7,24.2465589006411
2,0.5,1.5,0,9,12,5,7.1,24.4671320666886
2,0.5,1.5,0,9,12,5,7.2,24.672651061582
2,0.5,1.5,0,9,12,5,7.3,24.863282130371
2,0.5,1.5,0,9,12,5,7.4,25.0394233124214
2,0.5,1.5,0,9,12,5,7.5,25.2013029096027
2,0.5,1.5,0,9,12,5,7.6,25.3491345973645
2,0.5,1.5,0,9,12,5,7.7,25.483517762905
2,0.5,1.5,0,9,12,5,7.8,25.6050436463924
2,0.5,1.5,0,9,12,5,7.9,25.7141069882428
2,0.5,1.5,0,9,12,5,8,25.8112011222813
2,0.5,1.5,0,9,12,5,8.1,25.8969936952493
2,0.5,1.5,0,9,12,5,8.2,25.9721705580021
2,0.5,1.5,0,9,12,5,8.3,26.0375891343622
2,0.5,1.5,0,9,12,5,8.4,26.0941714996728
2,0.5,1.5,0,9,12,5,8.5,26.143021156328
2,0.5,1.5,0,9,12,5,8.6,26.184954019491
2,0.5,1.5,0,9,12,5,8.7,26.2210291744024
2,0.5,1.5,0,9,12,5,8.8,26.2524046141834
2,0.5,1.5,0,9,12,5,8.9,26.2801298293434
2,0.5,1.5,0,9,12,5,9,26.305360999392
2,0.5,1.5,0,9,12,5,9.1,26.3293531688144
2,0.5,1.5,0,9,12,5,9.2,26.3529536200756
2,0.5,1.5,0,9,12,5,9.3,26.3769788835404
2,0.5,1.5,0,9,12,5,9.4,26.4023338066994
2,0.5,1.5,0,9,12,5,9.5,26.4295478162703
2,0.5,1.5,0,9,12,5,9.6,26.4595077653729
2,0.5,1.5,0,9,12,5,9.7,26.4924421988178
2,0.5,1.5,0,9,12,5,9.8,26.5287305403713
2,0.5,1.5,0,9,12,5,9.9,26.5686322925108
2,0.5,1.5,0,9,12,5,10,26.6126822336449
2,0.5,1.5,0,9,12,5,10.1,26.6611674960036
2,0.5,1.5,0,9,12,5,10.2,26.7143654396707
2,0.5,1.5,0,9,12,5,10.3,26.7724861654845
2,0.5,1.5,0,9,12,5,10.4,26.8357643925792
2,0.5,1.5,0,9,12,5,10.5,26.9042680994935
2,0.5,1.5,0,9,12,5,10.6,26.9780505667867
-2,0.5,1.5,0,11,8,5,0.6,1.61988063678935
-2,0.5,1.5,0,11,8,5,0.7,1.65035429001319
-2,0.5,1.5,0,11,8,5,0.8,1.73223957774166
-2,0.5,1.5,0,11,8,5,0.9,1.89347890505313
-2,0.5,1.5,0,11,8,5,1,2.12981074810633
